[MAP_TEXTURES]
#idScene	rowSprites	columnSprites	IDTileSet
1	7	11	11	
[MAP]
# filePath	column	row	index	align
map/map1a.txt	64	24	0	0

[CAMERA]
#xLeft	xRight	yTop	yBot
5	624	41	4	1	2
5	626	42	4	1	2
5	628	43	4	1	2
5	630	44	4	1	2
5	632	45	4	1	2
5	634	46	4	1	2
5	636	47	4	1	2
5	638	48	4	1	2

# slide 4
5	672	48	4	-1	2
5	674	47	4	-1	2
5	676	46	4	-1	2
5	678	45	4	-1	2
5	680	44	4	-1	2
5	682	43	4	-1	2
5	684	42	4	-1	2
5	686	41	4	-1	2
5	688	40	4	-1	2
5	690	39	4	-1	2
5	692	38	4	-1	2
5	694	37	4	-1	2
5	696	36	4	-1	2
5	698	35	4	-1	2
5	700	34	4	-1	2
5	702	33	4	-1	2
#5	704	32	4	-1	2
# brick at footer
4	688	32	4

# slide 5 - cao ở cuối					
# brick at footer					
4	800	32	4		
#5	798	32	4	1	2
5	800	33	4	1	2
5	802	34	4	1	2
5	804	35	4	1	2
5	806	36	4	1	2
5	808	37	4	1	2
5	810	38	4	1	2
5	812	39	4	1	2
5	814	40	4	1	2
5	816	41	4	1	2
5	818	42	4	1	2
5	820	43	4	1	2
5	822	44	4	1	2
5	824	45	4	1	2
5	826	46	4	1	2
5	828	47	4	1	2
5	830	48	4	1	2
5	832	49	4	1	2
5	834	50	4	1	2
5	836	51	4	1	2
5	838	52	4	1	2
5	840	53	4	1	2
5	842	54	4	1	2
5	844	55	4	1	2
5	846	56	4	1	2
5	848	57	4	1	2
5	850	58	4	1	2
5	852	59	4	1	2
5	854	60	4	1	2
5	856	61	4	1	2
5	858	62	4	1	2
5	860	63	4	1	2
5	862	64	4	1	2

#scrollbar			
6	272	112	6
6	288	112	6
			
7	368	112	6
7	384	112	6
			
7	400	32	6
7	416	32	6
7	432	32	6
7	448	32	6
			
7	720	32	6
7	736	32	6
7	752	32	6
7	768	32	6

# Moving brick						
# id	x	y	ani	min	max	type
8	192	256	411	192	256	1
8	368	304	411	368	432	1
8	488	256	411	256	304	0
8	312	256	411	256	304	0

# Bomb
#21	100	84	3
21	464	49	3
21	368	81	3
21	576	49	3
21	704	49	3

# Treasures					
# id	x	y	ani_id	width	height
31	53	315	7	22	43

# Pipes	
# Portal						
50	992	1	4	1008	0	12	0	496
#==========Test item
# FireBall-Item
34	96	49	4
# FireBall-Item
33	128	49	4
# FireBall-Item
32	416	97	4	2
# FireBall-Item
34	192	49	4
